	Trial	RiskType	RewardType	ResponseType	Reward	Shock	SubjID
30	31	3	2	0.0	0.44	1	7
31	32	3	3	0.0	0.95	1	7
32	33	2	3	1.0	0.75	1	7
33	34	2	1	0.0	0.06	1	7
34	35	2	3	0.0	0.83	0	7
35	36	1	3	1.0	0.66	0	7
36	37	3	3	0.0	0.84	1	7
37	38	1	3	1.0	0.93	0	7
38	39	3	1	0.0	0.2	1	7
39	40	3	2	0.0	0.41	1	7
40	41	1	2	1.0	0.59	0	7
41	42	1	3	1.0	0.85	0	7
42	43	3	3	0.0	0.92	1	7
43	44	2	3	1.0	0.8	0	7
44	45	1	2	1.0	0.37	0	7
45	46	1	3	1.0	0.8	1	7
46	47	2	2	0.0	0.62	0	7
47	48	2	1	0.0	0.11	1	7
48	49	3	2	0.0	0.5	1	7
49	50	3	2	0.0	0.63	1	7
50	51	2	3	0.0	0.89	0	7
51	52	1	3	1.0	0.71	0	7
52	53	2	1	0.0	0.19	1	7
53	54	2	2	0.0	0.46	0	7
54	55	3	1	0.0	0.07	0	7
55	56	3	2	0.0	0.55	1	7
56	57	2	3	0.0	0.67	1	7
57	58	2	1	0.0	0.25	0	7
58	59	3	1	0.0	0.28	1	7
59	60	1	1	1.0	0.32	0	7
60	61	3	3	0.0	0.68	1	7
61	62	1	1	1.0	0.07	0	7
62	63	2	2	1.0	0.54	1	7
63	64	2	3	0.0	0.75	1	7
64	65	1	1	1.0	0.23	0	7
65	66	1	2	1.0	0.5	0	7
66	67	3	1	0.0	0.14	1	7
67	68	2	1	1.0	0.32	0	7
68	69	1	2	1.0	0.45	0	7
69	70	2	2	1.0	0.38	1	7
70	71	3	3	0.0	0.76	1	7
71	72	1	1	1.0	0.16	0	7
72	73	3	2	0.0	0.39	1	7
73	74	2	1	0.0	0.24	1	7
74	75	2	3	1.0	0.86	0	7
75	76	1	2	1.0	0.56	0	7
76	77	3	3	0.0	0.81	1	7
77	78	2	3	1.0	0.94	0	7
78	79	2	2	0.0	0.51	1	7
79	80	3	1	0.0	0.33	1	7
80	81	1	2	1.0	0.42	0	7
81	82	1	3	1.0	0.69	0	7
82	83	2	3	1.0	0.72	0	7
83	84	1	1	1.0	0.12	0	7
84	85	3	2	0.0	0.55	1	7
85	86	1	1	1.0	0.21	0	7
86	87	3	2	0.0	0.47	1	7
87	88	3	1	0.0	0.12	1	7
88	89	2	1	0.0	0.17	1	7
89	90	1	2	1.0	0.64	0	7
